height_to_cheek,cheek_to_jaw,forehead_to_cheek,jaw_to_forehead,height_to_jaw,height_to_forehead,chin_to_jaw,cheek_to_fj_mean,jaw_angle,label
1.154947,1.312967,0.485147,1.569903,1.516407,2.380612,0.414700,1.604131,139.079071,Diamond
1.148351,1.313550,0.486475,1.564922,1.508417,2.360554,0.414074,1.602858,139.042557,Diamond
1.231658,1.330360,0.511289,1.470159,1.638549,2.408928,0.436863,1.583575,141.151489,Diamond
1.217987,1.333595,0.519981,1.442078,1.624301,2.342369,0.436947,1.575009,138.190918,Diamond
1.183213,1.335924,0.499960,1.497211,1.580683,2.366617,0.421823,1.601916,138.993713,Diamond
1.227382,1.348927,0.495600,1.495824,1.655649,2.476558,0.421035,1.616907,142.485626,Diamond
1.217134,1.325598,0.521329,1.447026,1.613430,2.334675,0.433018,1.567760,137.454971,Diamond
1.191581,1.382200,0.498339,1.451791,1.647003,2.391104,0.410443,1.636897,140.604950,Diamond
1.219417,1.309000,0.525339,1.454190,1.596218,2.321203,0.434022,1.551253,138.233322,Diamond
1.197411,1.300213,0.515741,1.491260,1.556889,2.321726,0.406684,1.556607,134.376083,Diamond
1.268937,1.339092,0.526482,1.418424,1.699223,2.410218,0.420464,1.570775,138.406174,Diamond
1.227742,1.342901,0.495702,1.502227,1.648737,2.476777,0.421139,1.612438,142.021408,Diamond
1.247260,1.304609,0.522530,1.466928,1.627186,2.386965,0.429574,1.551539,138.669662,Diamond
1.258661,1.377858,0.546313,1.328476,1.734256,2.303917,0.450462,1.572231,145.016159,Diamond
1.145089,1.316453,0.487291,1.558857,1.507456,2.349909,0.413885,1.603968,139.112259,Diamond
1.204764,1.311514,0.490629,1.554082,1.580066,2.455551,0.425985,1.596034,132.189682,Diamond
1.201558,1.380066,0.541694,1.337662,1.658229,2.218151,0.409020,1.579408,142.147079,Diamond
1.159866,1.332645,0.515321,1.456157,1.545689,2.250765,0.416948,1.580143,139.412506,Diamond
1.292586,1.371251,0.531266,1.372686,1.772460,2.433032,0.406710,1.586638,141.785339,Diamond
1.210136,1.393394,0.546303,1.313688,1.686196,2.215136,0.430943,1.582309,143.208679,Diamond
1.169700,1.368879,0.513626,1.422289,1.601178,2.277338,0.411570,1.607522,139.357330,Diamond
